date,ticker_count,covered_tickers,headline_count,coverage_breadth,plain_sentiment_index,plain_fear_greed_index,plain_standardized_score,finance_sentiment_index,finance_fear_greed_index,finance_standardized_score,standardization_basis,no_news_policy
2023-06-30,50,41,185,0.82,0.03641980519910197,51.8209902599551,-1.3499706684702575,0.04979044060025995,52.489522030013006,-1.1347609533110274,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-03,50,43,218,0.86,0.12366734862914862,56.183367431457434,1.0596538489089804,0.13241898585858586,56.62094929292929,0.9818114470607535,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-05,50,40,225,0.8,0.14854301562881564,57.42715078144079,1.7466762535755231,0.17416761050061053,58.70838052503052,2.051223795959475,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-06,50,46,197,0.92,0.10612438441003441,55.30621922050172,0.5751478671012847,0.11261898282273282,55.63094914113664,0.4746242537978875,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-07,50,42,158,0.84,0.05300517857142857,52.650258928571425,-0.8919116706270723,0.04417677857142857,52.20883892857143,-1.2785577741081637,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-10,50,42,206,0.84,0.08961841118705856,54.48092055935293,0.11928176247935723,0.08963277944102682,54.481638972051336,-0.11417908910193306,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-11,50,44,190,0.88,0.08238670494505496,54.11933524725274,-0.08044531266961737,0.09335780238095237,54.66789011904763,-0.018760723442110157,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-12,50,43,194,0.86,0.11030120043290044,55.51506002164503,0.6905042186683634,0.11778069956709956,55.88903497835498,0.6068442652419676,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-13,50,44,193,0.88,0.09310666868131869,54.65533343406593,0.21562133206093914,0.10961375598290597,55.4806877991453,0.3976438329742124,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-14,50,40,217,0.8,0.08042203175876411,54.021101587938205,-0.13470614904628547,0.07851217064765299,53.925608532382654,-0.39903916468235195,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-17,50,45,277,0.9,0.06774375397088292,53.387187698544146,-0.4848580019785967,0.0700797676460966,53.50398838230483,-0.6150394755447538,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-18,50,46,242,0.92,0.1119057471767363,55.59528735883682,0.7348189927150148,0.12448201990400903,56.22410099520045,0.7785020092674622,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-19,50,43,211,0.86,0.09525350282446313,54.76267514122316,0.27491313539079854,0.11309474766573295,55.654737383286644,0.4868112133118555,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-20,50,44,225,0.88,0.0684902350982351,53.424511754911755,-0.46424149914638924,0.09926681110001111,54.96334055500055,0.13260155371301988,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-21,50,45,195,0.9,0.04877429626701801,52.4387148133509,-1.0087612383060487,0.05710060434782609,52.85503021739131,-0.947507374273367,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-24,50,48,292,0.96,0.12744835865800866,56.37241793290043,1.164078731350545,0.14001708593073595,57.000854296536794,1.1764406621546166,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-25,50,48,276,0.96,0.058819901597515205,52.94099507987576,-0.7313191930100729,0.09067096458832559,54.53354822941628,-0.08758544616197016,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-26,50,43,254,0.86,0.0784694622991044,53.92347311495522,-0.18863270166784232,0.10470081840264997,55.23504092013249,0.27179642691605743,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-27,50,45,270,0.9,0.08941961433256564,54.47098071662828,0.11379134113645614,0.12637602420183341,56.31880121009167,0.8270178969722222,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-28,50,40,262,0.8,0.10435170520669805,55.2175852603349,0.5261895686566714,0.13160224196755624,56.58011209837781,0.9608901350308608,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-07-31,50,41,342,0.82,0.13717461521268587,56.85873076063429,1.432700922131902,0.14836732896956104,57.418366448478054,1.3903364035974675,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-08-01,50,44,234,0.88,0.14946462641312935,57.47323132065647,1.7721295311585645,0.17440833111398404,58.72041655569921,2.0573899774512836,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-08-02,50,45,238,0.9,0.06454866175658669,53.22743308782933,-0.5731008593953054,0.08558269211931151,54.279134605965574,-0.21792414497140608,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-08-03,50,47,248,0.94,0.060784232106782105,53.03921160533911,-0.6770678207733218,0.09336127373737373,54.668063686868685,-0.0186718028739176,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-08-04,50,43,177,0.86,0.026425749999999998,51.321287500000004,-1.6259889893196686,0.05883585,52.9417925,-0.9030581703841534,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-08-07,50,44,191,0.88,0.05431871666666667,52.71593583333334,-0.8556340463598047,0.09903513571428571,54.95175678571429,0.12666707034847766,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-08-08,50,33,173,0.66,0.07273017857142856,53.63650892857142,-0.34714167783737343,0.048827863095238094,52.441393154761904,-1.1594178678673526,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-08-09,50,42,197,0.84,0.07437699887218045,53.71884994360903,-0.3016593821026948,0.09883893308270675,54.94194665413534,0.12164123970384942,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-08-10,50,45,168,0.9,0.10673731470588235,55.33686573529412,0.5920759296031692,0.1255666037815126,56.27833018907563,0.8062841793859776,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-08-11,50,38,165,0.76,0.10326514595034596,55.1632572975173,0.4961807028392564,0.11491627557997557,55.74581377899877,0.5334705814241631,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-08-14,50,38,223,0.76,0.1052940197025197,55.264700985125984,0.552214646532179,0.11819255144855145,55.90962757242757,0.6173940615937848,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-08-15,50,45,196,0.9,0.049128505999555996,52.4564252999778,-0.9989785851531583,0.05673859488844488,52.83692974442224,-0.956780431520161,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-08-16,50,38,164,0.76,0.08214811673881674,54.107405836940835,-0.0870347015361371,0.08614191798658859,54.307095899329425,-0.20359928868170427,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-08-17,50,47,219,0.94,0.08643322011137011,54.3216610055685,0.03131235718979534,0.11721451774891775,55.86072588744588,0.5923412287161588,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-08-18,50,38,176,0.76,0.08259136428571429,54.12956821428572,-0.07479297971472115,0.08817231428571429,54.408615714285716,-0.151589650183156,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
